,Alaska,Alabama,Arkansas,American Samoa,Arizona,Bureau of Prisons,California,Colorado,Connecticut,District of Columbia,Dept of Defense,Delaware,Florida,Federated States of Micronesia,Georgia,Guam,Hawaii,Iowa,Idaho,Indian Health Svc,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Marshall Islands,Michigan,Minnesota,Missouri,Northern Mariana Islands,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York State,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,Republic of Palau,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Veterans Health,Virgin Islands,Vermont,Washington,Wisconsin,West Virginia,Wyoming
2021-03-17,345987,1363987,912660,24300,2697523,81950,13161027,1987533,1483587,281538,1531345,346179,7332554,20882,2814158,68451,559118,1155384,566777,781325,4469795,2206988,931281,1582305,1519050,2710203,2082976,528359,17112,3310710,2080648,1939762,22934,921413,406867,3630467,325202,712099,478758,3254946,983709,1034347,6700442,3928456,1519597,1414113,4491125,788188,403044,10726,1649023,384987,2007555,8850377,1052347,3027633,3211090,29233,246663,2705839,2160948,695358,214015
2021-03-18,351093,1390066,929862,24300,2755436,84200,13563094,2029213,1514945,285546,1562724,354571,7522691,20882,2906563,70056,572716,1182560,586497,799030,4584510,2252443,959395,1619517,1519659,2773542,2130973,528977,17112,3396328,2119439,1989274,23266,940902,414258,3724856,330516,731885,489626,3346883,1004050,1062287,6853499,4018634,1551665,1433105,4591687,814157,411715,10962,1686210,392994,2054500,9055037,1069752,3091883,3272006,30128,252439,2763105,2210128,709770,214050
2021-03-19,356055,1426696,952919,24300,2760907,86342,13882984,2080284,1551481,291022,1593498,362023,7684142,21624,2910835,71940,587465,1225964,603043,814515,4683361,2304432,997844,1668125,1587368,2837941,2190923,557469,17112,3484418,2180483,2033873,23700,948679,422946,3813176,340554,754880,500911,3431096,1031202,1086559,7004762,4124492,1585046,1483419,4612975,839948,425397,11500,1723604,403411,2093850,9237352,1070231,3165336,3333181,31142,259165,2823446,2271149,732433,220735
2021-03-20,362698,1460782,974973,24300,2825939,88006,14276125,2188145,1586484,296647,1630049,372165,7977789,22129,3113334,72069,599643,1265775,622341,827880,4826260,2360942,1035916,1713059,1629437,2909219,2194556,557814,18039,3589255,2244149,2087816,24203,972123,433315,3903284,350706,755802,514422,3514899,1060171,1116221,7185757,4240062,1616226,1523965,4637450,863265,440476,11804,1745511,414458,2141857,9428516,1070976,3243652,3391329,32072,266120,2889480,2343615,756418,220993
2021-03-21,372435,1472666,999488,24300,2893024,88862,14708175,2250372,1623090,302692,1673652,382342,8186888,22217,3207887,72090,610517,1302395,639606,845754,4960792,2406866,1072867,1762745,1664443,2972826,2287975,558351,18873,3681378,2306429,2143727,24795,996498,443030,4002867,357236,775509,529948,3581686,1085158,1145354,7371644,4364513,1652639,1560983,4639971,886400,454586,11804,1793297,424806,2198555,9611867,1137351,3309153,3450713,32170,274187,2972560,2422908,763619,221336
2021-03-22,375590,1479271,1008575,27015,2942907,89052,15050673,2276660,1658338,306996,1679133,389157,8191294,22255,3280952,73973,614208,1324891,650437,857036,5051382,2437519,1081274,1797605,1688633,3032996,2320073,595845,18873,3747788,2340900,2174546,24895,1002292,447675,4064069,360501,797409,537577,3635504,1098197,1164939,7522949,4447020,1674556,1584449,4748613,896153,469205,11844,1834965,428076,2231739,9734465,1137511,3360330,3502931,32191,277420,3045597,2462081,764903,221452
2021-03-23,376555,1509445,1012415,27263,2970577,89232,15349039,2310425,1676905,309362,1682536,389157,8250717,22488,3281102,75724,621720,1333747,656932,860107,5096694,2447336,1088988,1813786,1695779,3066115,2357211,599693,18873,3776838,2353672,2192811,25206,1004562,447693,4092184,360592,804643,545500,3636384,1101603,1170434,7695283,4499814,1682725,1606844,5150999,902839,480045,12247,1848117,429022,2246032,9845182,1155841,3389780,3512264,33239,283052,3068976,2480311,769358,235171
2021-03-24,379296,1542416,1032499,27837,3010048,90341,15691888,2344091,1701298,313341,1694545,397204,8396727,22767,3362513,77636,632086,1346156,666389,876022,5177472,2488889,1115858,1838590,1725080,3131419,2409705,599839,19083,3841144,2380640,2229686,25607,1025205,455003,4167233,363148,818325,554889,3781744,1111612,1185896,7836940,4582163,1717541,1626721,5290020,920753,488045,12644,1889498,436290,2297569,9841589,1178663,3469776,3558131,34472,286384,3108315,2516425,777941,235424
2021-03-25,384503,1579091,1056307,27864,3106598,95200,16062266,2388899,1737160,320173,1712296,406635,8603007,23026,3434860,79350,642642,1369302,678747,886247,5287852,2540707,1140488,1876610,1756494,3196050,2464830,620556,19343,3914742,2417606,2276318,26016,1049528,463857,4240056,369029,836012,566168,3869393,1135178,1214518,7986362,4679419,1753658,1657083,5325139,952499,497475,13277,1926363,445142,2353612,10133617,1213732,3529449,3614889,35728,290680,3170650,2576727,793552,242919
2021-03-26,389775,1611404,1086176,28503,3169061,98916,16527440,2443350,1774045,327007,1785851,417566,8811431,23460,3530980,81396,659606,1402543,694887,903716,5412272,2598661,1170671,1924602,1793002,3270796,2532593,639773,19871,4006900,2479001,2317440,26450,1050114,475058,4343898,379564,857343,574612,3958836,1162064,1243965,8194278,4805634,1790349,1694736,5516639,981193,507094,13334,1969766,457075,2416556,10420919,1214131,3615169,3673631,36668,296682,3251437,2654772,819288,243336
2021-03-27,395650,1645858,1114449,28527,3239538,101156,16944916,2500874,1813854,334783,1827620,428136,9028641,23778,3621196,81649,660902,1445223,710876,919115,5542211,2655132,1217475,1976294,1838055,3345239,2594534,656607,19871,4114426,2557970,2371541,26987,1092577,487221,4456503,390760,858106,586018,4053945,1191220,1274357,8435639,4946129,1827618,1737553,5670930,1015714,515234,13334,2017582,471664,2477807,10700661,1275570,3668360,3735856,37770,303242,3330877,2736745,846624,243604
2021-03-28,401502,1659102,1143893,28527,3308671,101784,17335016,2569087,1854289,344954,1873990,438768,9271008,23908,3711950,83164,662115,1488820,728042,940544,5682011,2700392,1249912,2019234,1882190,3424253,2648201,673445,20014,4214787,2632176,2430704,27446,1094028,499029,4549839,397822,881787,598445,4142916,1224826,1303006,8654504,5074719,1869610,1772914,5795550,1044040,526086,13381,2066478,482516,2545370,10941968,1276128,3778349,3798767,38221,310003,3419568,2808953,856921,244038
2021-03-29,403284,1666585,1153739,28527,3363062,101786,17703550,2602792,1891603,353718,1886141,447568,9276711,24114,3764344,84899,685464,1514487,736941,945805,5793846,2734813,1261951,2058753,1911134,3495331,2681526,683925,20342,4295979,2665779,2464910,27787,1134229,502390,4596429,401626,900049,602562,4204062,1239316,1328018,8862843,5168120,1888004,1802561,5893502,1055993,538434,13381,2109171,488046,2582046,11130215,1276193,3867013,3854450,38261,316145,3501641,2853949,857701,261950
2021-03-30,404339,1697641,1159108,29079,3399399,101891,17922091,2645306,1924605,359065,1895711,453447,9405368,24538,3786303,85003,692706,1525091,740943,948459,5843688,2744163,1269292,2074948,1920242,3535818,2736823,687989,20342,4329057,2702080,2481467,28165,1137212,504919,4609430,410932,916701,607126,4292515,1242292,1335002,9023541,5219217,1895546,1821492,5947782,1062627,552753,13381,2124443,489525,2596336,11357324,1327257,3977862,3861303,39516,323388,3537203,2870834,866037,261963
